WarNum,WarName,ccode,StateName,Location,StartMonth,StartDay,StartYear,EndMonth,EndDay,EndYear,WhereFought,BatDeath
1,Franco-Spanish War,230,Spain,2,4,7,1823,11,13,1823,2,600
1,Franco-Spanish War,220,France,2,4,7,1823,11,13,1823,2,400
4,First Russo-Turkish,640,Ottoman Empire,2,4,26,1828,9,14,1829,11,80000
4,First Russo-Turkish,365,Russia,2,4,26,1828,9,14,1829,11,50000
7,Mexican-American,70,Mexico,1,4,25,1846,9,14,1847,1,6000
7,Mexican-American,2,United States of America,1,4,25,1846,9,14,1847,1,13283
10,Austro-Sardinian,337,Tuscany,2,3,29,1848,8,9,1848,2,100
10,Austro-Sardinian,325,Italy,2,3,24,1848,8,9,1848,2,3400
10,Austro-Sardinian,300,Austria,2,3,24,1848,8,9,1848,2,3927
10,Austro-Sardinian,332,Modena,2,4,9,1848,8,9,1848,2,100
13,First Schleswig-Holstein,255,Prussia,2,4,10,1848,8,26,1848,2,2500
13,First Schleswig-Holstein,390,Denmark,2,4,10,1848,8,26,1848,2,3500
16,Roman Republic,220,France,2,4,30,1849,7,2,1849,2,1000
16,Roman Republic,329,Two Sicilies,2,5,8,1849,7,2,1849,2,100
16,Roman Republic,300,Austria,2,5,8,1849,7,2,1849,2,100
16,Roman Republic,327,Papal States,2,4,30,1849,7,2,1849,2,1400
19,La Plata,160,Argentina,1,7,19,1851,2,3,1852,1,800
19,La Plata,140,Brazil,1,7,19,1851,2,3,1852,1,500
22,Crimean,640,Turkey,2,10,23,1853,3,1,1856,2,45000
22,Crimean,325,Italy,2,1,10,1855,3,1,1856,2,2200
22,Crimean,220,France,2,3,31,1854,3,1,1856,2,95000
22,Crimean,200,United Kingdom,2,3,31,1854,3,1,1856,2,22000
22,Crimean,365,Russia,2,10,23,1853,3,1,1856,2,100000
25,Anglo-Persian,200,United Kingdom,2,10,25,1856,4,5,1857,6,500
25,Anglo-Persian,630,Iran,6,10,25,1856,4,5,1857,6,1500
28,Italian Unification,325,Sardinia/Piedmont,2,4,29,1859,7,12,1859,2,2500
28,Italian Unification,300,Austria,2,4,29,1859,7,12,1859,2,12500
28,Italian Unification,220,France,2,5,3,1859,7,12,1859,2,7500
31,First Spanish-Moroccan,600,Morocco,6,10,22,1859,3,25,1860,6,6000
31,First Spanish-Moroccan,230,Spain,2,10,22,1859,3,25,1860,6,4000
34,Italian-Roman,325,Sardinia/Piedmont,2,9,11,1860,9,29,1860,2,300
34,Italian-Roman,327,Papal States,2,9,11,1860,9,29,1860,2,700
37,Neapolitan,329,Two Sicilies,2,10,15,1860,2,13,1861,2,400
37,Neapolitan,325,Sardinia/Piedmont,2,10,15,1860,2,13,1861,2,600
40,Franco-Mexican,70,Mexico,1,4,16,1862,2,5,1867,1,12000
40,Franco-Mexican,220,France,2,4,16,1862,2,5,1867,1,8000
43,Ecuadorian-Colombian,100,Colombia,1,11,22,1863,12,6,1863,1,300
43,Ecuadorian-Colombian,130,Ecuador,1,11,22,1863,12,6,1863,1,700
46,Second Schleswig-Holstein,255,Germany,2,2,1,1864,4,25,1864,2,1048
46,Second Schleswig-Holstein,390,Denmark,2,2,1,1864,4,25,1864,2,2933
46,Second Schleswig-Holstein,300,Austria,2,2,1,1864,4,25,1864,2,500
49,Lopez,160,Argentina,1,3,5,1865,3,1,1870,1,10000
49,Lopez,150,Paraguay,1,11,12,1864,3,1,1870,1,200000
49,Lopez,140,Brazil,1,11,12,1864,3,1,1870,1,100000
52,Naval War,155,Chile,1,9,25,1865,5,9,1866,1,100
52,Naval War,135,Peru,1,1,14,1866,5,9,1866,1,600
52,Naval War,230,Spain,2,9,25,1865,5,9,1866,1,300
55,Seven Weeks,325,Italy,2,6,20,1866,7,26,1866,2,4000
55,Seven Weeks,275,Hesse Grand Ducal,2,6,15,1866,7,26,1866,2,100
55,Seven Weeks,271,Wuerttemburg,2,6,15,1866,7,26,1866,2,100
55,Seven Weeks,245,Bavaria,2,6,15,1866,7,26,1866,2,500
55,Seven Weeks,300,Austria,2,6,15,1866,7,26,1866,2,28000
55,Seven Weeks,255,Germany,2,6,15,1866,7,26,1866,2,10000
55,Seven Weeks,280,Mecklenburg Schwerin,2,6,15,1866,7,26,1866,2,100
55,Seven Weeks,273,Hesse Electoral,2,6,15,1866,7,26,1866,2,100
55,Seven Weeks,269,Saxony,2,6,15,1866,7,26,1866,2,600
55,Seven Weeks,267,Baden,2,6,15,1866,7,26,1866,2,100
55,Seven Weeks,240,Hanover,2,6,15,1866,6,29,1866,2,500
58,Franco-Prussian,271,Wuerttemburg,2,7,19,1870,11,25,1870,2,976
58,Franco-Prussian,267,Baden,2,7,19,1870,11,22,1870,2,956
58,Franco-Prussian,255,Germany,2,7,19,1870,2,26,1871,2,44781
58,Franco-Prussian,245,Bavaria,2,7,19,1870,11,15,1870,2,5600
58,Franco-Prussian,220,France,2,7,19,1870,2,26,1871,2,152000
60,First Central American,90,Guatemala,1,3,27,1876,4,25,1876,1,2000
60,First Central American,92,El Salvador,1,3,27,1876,4,25,1876,1,2000
61,Second Russo-Turkish,640,Turkey,2,4,24,1877,1,31,1878,11,165000
61,Second Russo-Turkish,365,Russia,2,4,24,1877,1,31,1878,11,120000
64,War of the Pacific,155,Chile,1,2,14,1879,12,11,1883,1,3276
64,War of the Pacific,135,Peru,1,4,5,1879,10,23,1883,1,9672
64,War of the Pacific,145,Bolivia,1,2,14,1879,12,11,1883,1,920
65,Conquest of Egypt,651,Egypt,6,7,11,1882,9,15,1882,6,10000
65,Conquest of Egypt,200,United Kingdom,2,7,11,1882,9,15,1882,6,79
67,Sino-French,220,France,2,6,15,1884,6,9,1885,7,2100
67,Sino-French,710,China,3,6,15,1884,6,9,1885,7,10000
70,Second Central American,92,El Salvador,1,3,28,1885,4,15,1885,1,200
70,Second Central American,90,Guatemala,1,3,28,1885,4,15,1885,1,800
73,First Sino-Japanese,710,China,3,7,25,1894,3,30,1895,7,10000
73,First Sino-Japanese,740,Japan,3,7,25,1894,3,30,1895,7,5000
76,Greco-Turkish,350,Greece,2,2,15,1897,5,19,1897,2,600
76,Greco-Turkish,640,Turkey,2,2,15,1897,5,19,1897,2,1400
79,Spanish-American,230,Spain,2,4,22,1898,8,12,1898,13,775
79,Spanish-American,2,United States of America,1,4,22,1898,8,12,1898,13,2910
82,Boxer Rebellion,365,Russia,2,6,17,1900,8,14,1900,7,302
82,Boxer Rebellion,740,Japan,3,6,17,1900,8,14,1900,7,622
82,Boxer Rebellion,2,United States of America,1,6,17,1900,8,14,1900,7,21
82,Boxer Rebellion,710,China,3,6,17,1900,8,14,1900,7,2000
82,Boxer Rebellion,200,United Kingdom,2,6,17,1900,8,14,1900,7,34
82,Boxer Rebellion,220,France,2,6,17,1900,8,14,1900,7,24
83,Sino-Russian,365,Russia,2,7,17,1900,10,10,1900,7,242
83,Sino-Russian,710,China,3,7,17,1900,10,10,1900,7,3758
85,Russo-Japanese,740,Japan,3,2,8,1904,9,15,1905,7,80378
85,Russo-Japanese,365,Russia,2,2,8,1904,9,15,1905,7,71453
88,Third Central American,91,Honduras,1,5,27,1906,7,20,1906,1,300
88,Third Central American,92,El Salvador,1,5,27,1906,7,20,1906,1,300
88,Third Central American,90,Guatemala,1,5,27,1906,7,20,1906,1,400
91,Fourth Central American,93,Nicaragua,1,2,19,1907,4,23,1907,1,400
